=== NYAM NYAM VERIFICATION START ===
Using collection: raw_data
Found 798 rows for testing.
Running Flow 1 for Nyam Nyam rows...

--- Flow 1 completed. Checking single_stock_data ---
Found 798 master lines in Flow 1 output.
  - ITEM: ARNOTTS NYAM NYAM CREAMY CHOCOLATE 25 GM | UPC: 8886015401030 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY CHOCOLATE 25 GM | UPC: 8886015401030 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY CHOCOLATE 25 GM | UPC: 8886015401030 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY CHOCOLATE 25 GM | UPC: 8886015401030 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY CHOCOLATE 25 GM | UPC: 8886015401030 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CREAMY STRAW BERRY 25GM | UPC: 8886015403034 | MERGED_COUNT: 1
